shop_id,derived_revenue
0,217720.57889422774
1,105945.45585417048
2,12979011.809658604
3,9205384.575737014
4,10005073.398518063
5,11395707.96400459
6,25494478.06374526
7,18037216.512640774
8,79965.36892162813
9,6257297.37714746
10,4950960.809399704
11,224555.4326979594
12,36527960.6309409
13,575327.8915651164
14,13138464.175419532
15,18943616.156204116
16,15350064.020202976
17,4931582.053910015
18,19818308.038946394
19,17195944.904518925
20,4091155.6915107626
21,20296640.474297587
22,16212814.174377874
23,204403.20518533725
24,18184759.171492886
25,63509068.21951998
26,18501275.727211744
27,33234717.627802975
28,43623101.2643865
29,10540328.029969309
30,7295916.5729267765
31,63565757.03779265
32,236807.05733583166
33,2141453.072748645
34,4603553.432225675
35,20009734.98537583
36,379461.0
37,13199884.269117909
38,19372904.311100468
39,8312906.7359433845
40,1146772.684637015
41,10681008.27234935
42,48330500.548458025
43,10159611.867074976
44,8806802.278817639
45,9892494.832071746
46,19698646.64041668
47,23488415.791484177
48,12296514.147211207
49,7990835.78355605
50,16333150.9142918
51,5129248.574450857
52,11737000.934857389
53,14534532.289948894
54,24592222.494752925
55,24486142.662728053
56,15212091.921955278
57,29176252.96965964
58,19571082.84796613
59,11699647.222737676
